+ 1616814366.332857000 /scripts/cli : __rvm_parse_args()  745 > [[ -z '' ]]
+ 1616814366.347670100 /scripts/cli : __rvm_parse_args()  745 > [[ -n '' ]]
+ 1616814366.360899900 /scripts/cli : __rvm_parse_args()  749 > [[ error == '' ]]
+ 1616814366.374750800 /scripts/cli : __rvm_parse_args()  749 > [[ 0 -eq 1 ]]
+ 1616814366.389573500 /scripts/cli : __rvm_parse_args()  749 > [[ -n '' ]]
+ 1616814366.403501500 /scripts/cli : __rvm_parse_args()  15 > [[ -n install ]]
+ 1616814366.412122200 /scripts/cli : __rvm_parse_args()  17 > rvm_token=install
+ 1616814366.421513200 /scripts/cli : __rvm_parse_args()  19 > ((  1 > 0  ))
+ 1616814366.428082800 /scripts/cli : __rvm_parse_args()  21 > next_token=.
+ 1616814366.438429600 /scripts/cli : __rvm_parse_args()  22 > shift
+ 1616814366.452478500 /scripts/cli : __rvm_parse_args()  98 > case "$rvm_token" in
+ 1616814366.460831600 /scripts/cli : __rvm_parse_args()  101 > case "$rvm_token" in
+ 1616814366.472922100 /scripts/cli : __rvm_parse_args()  55 > export install_flag=1
+ 1616814366.482751700 /scripts/cli : __rvm_parse_args()  55 > install_flag=1
+ 1616814366.493584200 /scripts/cli : __rvm_parse_args()  56 > rvm_action=install
+ 1616814366.502863800 /scripts/cli : __rvm_parse_args()  745 > [[ -z install ]]
+ 1616814366.510422700 /scripts/cli : __rvm_parse_args()  749 > [[ error == \i\n\s\t\a\l\l ]]
+ 1616814366.518376800 /scripts/cli : __rvm_parse_args()  749 > [[ 0 -eq 1 ]]
+ 1616814366.525325300 /scripts/cli : __rvm_parse_args()  749 > [[ -n '' ]]
+ 1616814366.535354700 /scripts/cli : __rvm_parse_args()  15 > [[ -n . ]]
+ 1616814366.543324100 /scripts/cli : __rvm_parse_args()  17 > rvm_token=.
+ 1616814366.551990200 /scripts/cli : __rvm_parse_args()  19 > ((  0 > 0  ))
+ 1616814366.560362500 /scripts/cli : __rvm_parse_args()  24 > next_token=
+ 1616814366.569581400 /scripts/cli : __rvm_parse_args()  98 > case "$rvm_token" in
+ 1616814366.579994300 /scripts/cli : __rvm_parse_args()  733 > [[ -d . ]]
+ 1616814366.589404200 /scripts/cli : __rvm_parse_args()  736 > __rvm_rvmrc_tools try_to_read_ruby .
+ 1616814366.599292000 /scripts/functions/rvmrc : __rvm_rvmrc_tools()  1 > typeset rvmrc_action rvmrc_warning_action rvmrc_path saveIFS trust rvmrc_ruby
+ 1616814366.610137600 /scripts/functions/rvmrc : __rvm_rvmrc_tools()  3 > rvmrc_action=try_to_read_ruby
+ 1616814366.617580300 /scripts/functions/rvmrc : __rvm_rvmrc_tools()  4 > ((  2  ))
+ 1616814366.628536000 /scripts/functions/rvmrc : __rvm_rvmrc_tools()  4 > shift
+ 1616814366.638157900 /scripts/functions/rvmrc : __rvm_rvmrc_tools()  7 > [[ try_to_read_ruby == \w\a\r\n\i\n\g ]]
